"Account Name","Opportunity Name","Close Date","Created Date","Lead Source","Notes"
"JDog Enterprises","JDog Enterprises  - Bench","18/01/2022","14/01/2022","B2C Marketing","Jim has a marketing business that he runs as a side hustle. His day job is as a pilot. Right now he is trying to grow his side business and needs some help with the books. Initially, he was asking me a ton of questions about taxes, categorizations, corporate structure, financial reporting etc. Eventually, I told him that if he is trying to grow the business and wants to take it to the next level he needs someone who actually knows what they are doing. After hearing about Bench he thinks it would be a great fit for someone to do the books for him so that he can focus on the growth, family, and his day job and not have to worry about it. 

He has been using FreshBooks to take care of his books up to now. He likes Freshbooks and likes that it can automate some of his processes. He didn't tell me how much time he spends on this but he said it would be a real game-changer if Bench could take the bookkeeping off his plate. 

Call booked 2 Pm on Jan 17th with Micheal

Moving forward with essential annual plan."
"SpringSims LLC","SpringSims LLC  - Bench CU","18/01/2022","18/01/2022","FreshBooks Trialers","$299 x 4 months of cu, jan 2021 - apr 2021"
"ZERE GROUP LLC","The Zere- Premium + Bench","18/01/2022","21/12/2021","B2B Marketing","New bank card should arrive this week
booked bench

shopping us with QB
needs Bench 
ach through invoices
brand new consulting has 2 clients"
"Howard-Wright Coaching & Consulting","Howard-Wright Coaching & Consulting - Bench","14/01/2022","12/01/2022","B2C Marketing","Per Carlotta at Bench the admin on this account wants to return to Bench and not cancel Freshbooks either. Bench reps said they could honour their original pricing of $294/Month. Adding it to their subscription Jan 14th and then ongoing starting Feb 2nd"
"Robertson Communications","Robertson Communications Corp.  - Bench","14/01/2022","12/01/2022","B2C Marketing","Scott has been with the same bookkeeper for the last 3 years and they just got back to him and said that they will be raising his prices this year. It motivated Scott to shop around a bit and got in touch with us since he knew that Bench is a FreshBooks partner. He doesn't really have any interest in doing the books himself even though they are pretty simple. Would rather have a pro take care of it. 

uses a firm that does it for him. Used to be $199/month but is now going up to $350/Month which he doesn't love of course. He thinks the firm is trying to push him out since he isn't that big. 

Call booked with Jeff for 4 PM Jan 13th"
"Reed Audio Video","Reed Audio Video  - Bench CU","13/01/2022","11/01/2022","B2C Marketing","January 2020 - December 2020 CU"
"Solution Square, Inc (d/b/a Red9)","Solution Square, Inc (d/b/a Red9)  - Bench","13/01/2022","05/01/2022","B2C Marketing","Over the last year his business has massively improved their marketing and sales process and now have more business than they can handle. He wants to focus on increasing capacity and growing the business and doesn't want to have to worry about the books as he does that.

Call booked with Michael on Jan 5 at 330 pm EST.

Disco went reasonably well, defintiely sees the value in a solution like this. Going through a free trial, follow up is set for Monday Dec 10 at 4 pm EST.

Pricing went well, he is likely going to go with the PRO option if he closes to get some accrual adjustments done. Bookkeepers are looking at how that will all work for him, should have an answer for it within the next 2 days.

Bookkeepers gave the green light, he is moving forward on monthly PRO."
"Digital Ninja Consulting, LLC","Digital Ninja Consulting, LLC  Bench","12/01/2022","09/12/2021","B2C Marketing","Bench Discover  Monday, January 10, 2022  at 1:45pm ET

Essential plan with possible 3 months catch up

NO CPA services (on their 4th one right now)
Pricing call Tuesday, January 11, 2022 at 4:30EST"
"Penta Systems, Inc.","Penta System Incorporated - Bench","12/01/2022","07/01/2022","Inbound","Billing of $299 running for Feb 12th.
Jan 12th - month free as part of FB discount"
"WebNola","WebNola  - Bench Catch Up","12/01/2022","12/01/2022","B2C Marketing","Per message from Kitt: 

Hey mate, hope you're doing well! Got some good news! Our boy Jeff is keen to get going on catch-up bookkeeping from Jan - Oct 2021.
I just got off the phone with him and we came to a 20% discount so the total will be $2,631.20"
"Event Helpers LA","Event Helpers LA  - Bench Essential - $299","11/01/2022","06/01/2022","B2C Marketing","Moving forward with Premium for $299 month. $399.20 for the first 6 months, then $299/month going forward. 

Not moving forward with catch up at this time."
"Hotel Benchmark","Hotel Benchmark  "" - New Opportunity""","11/01/2022","11/01/2022","FreshBooks Trialers","Supporting hotels with their online pricing"
"Ninjology LLC","Ninjology LLC  "" - Bench""","10/01/2022","07/01/2022","B2C Marketing","Discovery on Jan. 7th at 3:30 PM EST

$499MRR
No Catch up. Phil is interested to do this starting new for 2022
Upgraded to Premium on Jan 03"
"Raze Up LLC","Raze Up LLC  "" - Plus + bench","10/01/2022","06/12/2021","High Potential Trials","new business rage room side job
loves how easy it is just using for accounting only. 
will talk to bench but not sure if he wants it or not
needs help with journal entries Laura
80 for 3 on account"
"Cart3rNDaWynt3r, LLC.","Cart3rNDaWynt3r, LLC. - ""Plus + Bench Essential""","07/01/2022","07/01/2022","FreshBooks Trialers","Spoke to Sophia, nice individual, runs a fashion/women's apparel business/shopping consultation business, started early December and wanted everything set up from an accounting/invoicing and bkk perspective. Walked over invoicing + payments collection with FB and Bench for bookkeeping, scheduled a meeting with Jeff for 5:30pm. Upgraded her to the plus plan + bench essential package."
"Snickelbox, LLC","Snickelbox, LLC - Bench Catchup Services for Jan 2021 - May 2021","07/01/2022","07/01/2022","B2C Marketing","$1,345.50 for Jan 2021 - May 2021 CU ($299 x 5 months w/ 10% off)"
"Milhoan Design, LLC","Milhoan Design, LLC  - Bench Essential + 10 months catchup","06/01/2022","06/01/2022","","Client is reactivating their Bench Account, charging $299 for January and ongoing months. Also billing for 10 months of catch up - Feb 2021 - Oct 2021 (Jan was last billed month on previous sub, and Dec 2021 was free as part of their trial). No discounts on service, and payments will be in two instalments. 
Due today: $1,495.10 (5 months catchup with 20% off) = $299 + $1196.10 ($239.20/month x 5)
Due Feb 6: $1,495.10 (5 months catchup with 20% off) = $299 + $1196.10 ($239.20/month x 5)
Mar 6 ongoing: $299/month"
"10 Forward, LLC","10 Forward, LLC  - Bench","04/01/2022","27/12/2021","","- Has been looking at Bookkeeping services for a while now and has been curious about bench. Has a lot of ongoing questions about the tax implications of different business decisions.
- $4,309.20 (January 2022 - December 2022 coverage, bookkeeping + taxes) + $1,196 ($299 x 12 months, January 2021 - December 2021 bookkeeping) = $5,505.20"
"No Quarter Creative","Ian A. Harrington LLC  "" -Bench Essential 299""","04/01/2022","15/12/2021","B2C Marketing","Ian offers social media management and video content creation services. The business was started in 2020 and has been growing since. Bookkeeping is a major problem since he isn?t any good at it. He has no accountant at the moment and filed his own taxes last year. He is currently behind on his 2021 books but he is most interested in having his monthly bookkeeping taken care of for him. Right now he is primarily interested in the Bench essential package and is okay with the pricing. Meeting booked for this friday at 5:30 PM EST"
